instance,jobs,pivot,init,seed,pop,mut,tour,completion,time
./data/Benchmarks/ta051,50,genetic,srz,4,20,0.05,5,126933,153.047138
./data/Benchmarks/ta051,50,genetic,srz,1,20,0.05,5,127038,153.064922
./data/Benchmarks/ta052,50,genetic,srz,7,20,0.05,5,119852,153.052105
./data/Benchmarks/ta052,50,genetic,srz,4,20,0.05,5,119852,153.055245
./data/Benchmarks/ta051,50,genetic,srz,9,20,0.05,5,127160,153.121516
./data/Benchmarks/ta051,50,genetic,srz,8,20,0.05,5,126379,153.138855
./data/Benchmarks/ta051,50,genetic,srz,5,20,0.05,5,126922,153.207416
./data/Benchmarks/ta052,50,genetic,srz,1,20,0.05,5,119783,153.224731
./data/Benchmarks/ta052,50,genetic,srz,5,20,0.05,5,120058,153.317251
./data/Benchmarks/ta052,50,genetic,srz,6,20,0.05,5,119875,153.328058
./data/Benchmarks/ta051,50,genetic,srz,7,20,0.05,5,127051,153.370834
./data/Benchmarks/ta052,50,genetic,srz,2,20,0.05,5,120009,153.397653
./data/Benchmarks/ta051,50,genetic,srz,3,20,0.05,5,127081,153.413981
./data/Benchmarks/ta051,50,genetic,srz,10,20,0.05,5,126788,153.597881
./data/Benchmarks/ta052,50,genetic,srz,3,20,0.05,5,119698,153.654469
./data/Benchmarks/ta051,50,genetic,srz,2,20,0.05,5,126853,153.708140
./data/Benchmarks/ta051,50,genetic,srz,6,20,0.05,5,127192,153.714192
./data/Benchmarks/ta052,50,genetic,srz,8,20,0.05,5,119649,153.752014
./data/Benchmarks/ta053,50,genetic,srz,2,20,0.05,5,117313,153.074640
./data/Benchmarks/ta054,50,genetic,srz,4,20,0.05,5,121705,153.104057
./data/Benchmarks/ta052,50,genetic,srz,9,20,0.05,5,119914,153.259721
./data/Benchmarks/ta054,50,genetic,srz,3,20,0.05,5,121596,153.245500
./data/Benchmarks/ta053,50,genetic,srz,3,20,0.05,5,117286,153.315016
./data/Benchmarks/ta054,50,genetic,srz,6,20,0.05,5,121469,153.324760
./data/Benchmarks/ta054,50,genetic,srz,2,20,0.05,5,121686,153.330492
./data/Benchmarks/ta053,50,genetic,srz,10,20,0.05,5,117547,153.535367
./data/Benchmarks/ta054,50,genetic,srz,1,20,0.05,5,121864,153.544336
./data/Benchmarks/ta053,50,genetic,srz,6,20,0.05,5,117547,153.573319
./data/Benchmarks/ta053,50,genetic,srz,8,20,0.05,5,117378,153.574152
./data/Benchmarks/ta053,50,genetic,srz,7,20,0.05,5,117442,153.588333
./data/Benchmarks/ta053,50,genetic,srz,5,20,0.05,5,117289,153.592286
./data/Benchmarks/ta053,50,genetic,srz,1,20,0.05,5,117473,153.681415
./data/Benchmarks/ta054,50,genetic,srz,5,20,0.05,5,121358,153.683896
./data/Benchmarks/ta053,50,genetic,srz,4,20,0.05,5,117662,153.863792
./data/Benchmarks/ta052,50,genetic,srz,10,20,0.05,5,119794,153.875598
./data/Benchmarks/ta053,50,genetic,srz,9,20,0.05,5,117697,153.873583
./data/Benchmarks/ta055,50,genetic,srz,1,20,0.05,5,119139,153.097460
./data/Benchmarks/ta055,50,genetic,srz,5,20,0.05,5,119296,153.135914
./data/Benchmarks/ta056,50,genetic,srz,4,20,0.05,5,121742,153.152606
./data/Benchmarks/ta055,50,genetic,srz,2,20,0.05,5,119037,153.237873
./data/Benchmarks/ta055,50,genetic,srz,6,20,0.05,5,118878,153.322807
./data/Benchmarks/ta054,50,genetic,srz,7,20,0.05,5,121560,153.354657
./data/Benchmarks/ta056,50,genetic,srz,3,20,0.05,5,121734,153.421628
./data/Benchmarks/ta054,50,genetic,srz,8,20,0.05,5,121643,153.462800
./data/Benchmarks/ta055,50,genetic,srz,3,20,0.05,5,119118,153.510735
