instance,jobs,pivot,neighborhood,init,seed,completion,time
./data/Benchmarks/ta051,50,tabu,insert,srz,9,128550,153.016923
./data/Benchmarks/ta052,50,tabu,insert,srz,4,121834,153.013349
./data/Benchmarks/ta051,50,tabu,insert,srz,3,128550,153.019225
./data/Benchmarks/ta051,50,tabu,insert,srz,8,128550,153.024637
./data/Benchmarks/ta051,50,tabu,insert,srz,10,128550,153.023350
./data/Benchmarks/ta051,50,tabu,insert,srz,5,128550,153.024410
./data/Benchmarks/ta052,50,tabu,insert,srz,3,121834,153.021018
./data/Benchmarks/ta051,50,tabu,insert,srz,6,128550,153.020727
./data/Benchmarks/ta051,50,tabu,insert,srz,2,128550,153.025551
./data/Benchmarks/ta052,50,tabu,insert,srz,5,121834,153.020461
./data/Benchmarks/ta052,50,tabu,insert,srz,1,121834,153.017183
./data/Benchmarks/ta051,50,tabu,insert,srz,4,128550,153.019115
./data/Benchmarks/ta051,50,tabu,insert,srz,7,128550,153.020103
./data/Benchmarks/ta052,50,tabu,insert,srz,8,121834,153.020154
./data/Benchmarks/ta052,50,tabu,insert,srz,6,121834,153.022425
./data/Benchmarks/ta052,50,tabu,insert,srz,2,121834,153.026566
./data/Benchmarks/ta052,50,tabu,insert,srz,7,121834,153.025932
./data/Benchmarks/ta051,50,tabu,insert,srz,1,128550,153.032508
./data/Benchmarks/ta054,50,tabu,insert,srz,3,124131,153.297235
./data/Benchmarks/ta052,50,tabu,insert,srz,10,121834,153.313418
./data/Benchmarks/ta053,50,tabu,insert,srz,1,119860,153.308869
./data/Benchmarks/ta053,50,tabu,insert,srz,8,119860,153.309152
./data/Benchmarks/ta053,50,tabu,insert,srz,4,119860,153.309731
./data/Benchmarks/ta054,50,tabu,insert,srz,4,124131,153.297349
./data/Benchmarks/ta053,50,tabu,insert,srz,6,119860,153.308682
./data/Benchmarks/ta053,50,tabu,insert,srz,7,119860,153.308921
./data/Benchmarks/ta054,50,tabu,insert,srz,6,124131,153.296963
./data/Benchmarks/ta054,50,tabu,insert,srz,5,124131,153.297157
./data/Benchmarks/ta053,50,tabu,insert,srz,5,119860,153.308981
./data/Benchmarks/ta054,50,tabu,insert,srz,1,124131,153.297821
./data/Benchmarks/ta053,50,tabu,insert,srz,3,119860,153.309056
./data/Benchmarks/ta054,50,tabu,insert,srz,2,124131,153.297637
./data/Benchmarks/ta053,50,tabu,insert,srz,9,119860,153.309642
./data/Benchmarks/ta053,50,tabu,insert,srz,10,119860,153.309068
./data/Benchmarks/ta052,50,tabu,insert,srz,9,121834,153.313959
./data/Benchmarks/ta053,50,tabu,insert,srz,2,119860,153.309951
./data/Benchmarks/ta054,50,tabu,insert,srz,10,124131,153.009739
./data/Benchmarks/ta054,50,tabu,insert,srz,8,124131,153.009815
./data/Benchmarks/ta054,50,tabu,insert,srz,7,124131,153.010991
./data/Benchmarks/ta054,50,tabu,insert,srz,9,124131,153.011110
./data/Benchmarks/ta055,50,tabu,insert,srz,10,121245,153.012501
./data/Benchmarks/ta055,50,tabu,insert,srz,9,121245,153.012154
./data/Benchmarks/ta055,50,tabu,insert,srz,6,121245,153.014328
./data/Benchmarks/ta055,50,tabu,insert,srz,3,121245,153.013806
./data/Benchmarks/ta055,50,tabu,insert,srz,1,121245,153.016675
./data/Benchmarks/ta055,50,tabu,insert,srz,7,121245,153.017868
./data/Benchmarks/ta055,50,tabu,insert,srz,2,121245,153.019215
./data/Benchmarks/ta055,50,tabu,insert,srz,8,121245,153.023120
./data/Benchmarks/ta055,50,tabu,insert,srz,5,121245,153.023601
./data/Benchmarks/ta055,50,tabu,insert,srz,4,121245,153.024447
./data/Benchmarks/ta056,50,tabu,insert,srz,4,122796,153.021004
./data/Benchmarks/ta056,50,tabu,insert,srz,3,122796,153.022002
./data/Benchmarks/ta056,50,tabu,insert,srz,1,122796,153.022233
./data/Benchmarks/ta056,50,tabu,insert,srz,2,122796,153.035565
./data/Benchmarks/ta056,50,tabu,insert,srz,8,122796,153.018681
./data/Benchmarks/ta056,50,tabu,insert,srz,10,122796,153.019188
./data/Benchmarks/ta056,50,tabu,insert,srz,5,122796,153.019671
./data/Benchmarks/ta056,50,tabu,insert,srz,9,122796,153.019680
./data/Benchmarks/ta056,50,tabu,insert,srz,6,122796,153.020015
./data/Benchmarks/ta056,50,tabu,insert,srz,7,122796,153.020477
./data/Benchmarks/ta057,50,tabu,insert,srz,7,125653,153.013750
./data/Benchmarks/ta057,50,tabu,insert,srz,4,125653,153.014177
./data/Benchmarks/ta057,50,tabu,insert,srz,6,125653,153.016644
./data/Benchmarks/ta058,50,tabu,insert,srz,1,127327,153.008064
./data/Benchmarks/ta057,50,tabu,insert,srz,8,125653,153.017589
./data/Benchmarks/ta057,50,tabu,insert,srz,5,125653,153.017804
./data/Benchmarks/ta058,50,tabu,insert,srz,2,127327,153.008572
./data/Benchmarks/ta057,50,tabu,insert,srz,2,125653,153.020164
./data/Benchmarks/ta057,50,tabu,insert,srz,1,125653,153.021150
./data/Benchmarks/ta057,50,tabu,insert,srz,3,125653,153.021290
./data/Benchmarks/ta057,50,tabu,insert,srz,9,125653,153.021660
./data/Benchmarks/ta057,50,tabu,insert,srz,10,125653,153.019881
./data/Benchmarks/ta058,50,tabu,insert,srz,5,127327,153.007344
./data/Benchmarks/ta058,50,tabu,insert,srz,4,127327,153.007620
./data/Benchmarks/ta058,50,tabu,insert,srz,7,127327,153.008318
./data/Benchmarks/ta058,50,tabu,insert,srz,3,127327,153.007551
./data/Benchmarks/ta058,50,tabu,insert,srz,6,127327,153.007477
./data/Benchmarks/ta058,50,tabu,insert,srz,10,127327,153.007399
./data/Benchmarks/ta058,50,tabu,insert,srz,9,127327,153.009272
./data/Benchmarks/ta058,50,tabu,insert,srz,8,127327,153.013465
./data/Benchmarks/ta059,50,tabu,insert,srz,10,124627,153.015483
./data/Benchmarks/ta059,50,tabu,insert,srz,9,124627,153.018458
./data/Benchmarks/ta059,50,tabu,insert,srz,4,124627,153.021569
./data/Benchmarks/ta059,50,tabu,insert,srz,7,124627,153.024260
./data/Benchmarks/ta059,50,tabu,insert,srz,8,124627,153.028274
./data/Benchmarks/ta059,50,tabu,insert,srz,2,124627,153.029076
./data/Benchmarks/ta059,50,tabu,insert,srz,5,124627,153.029749
./data/Benchmarks/ta059,50,tabu,insert,srz,3,124627,153.029772
./data/Benchmarks/ta059,50,tabu,insert,srz,6,124627,153.030537
./data/Benchmarks/ta059,50,tabu,insert,srz,1,124627,153.033229
./data/Benchmarks/ta060,50,tabu,insert,srz,1,127732,153.008080
./data/Benchmarks/ta060,50,tabu,insert,srz,5,127732,153.008415
./data/Benchmarks/ta060,50,tabu,insert,srz,7,127732,153.008865
./data/Benchmarks/ta060,50,tabu,insert,srz,4,127732,153.008809
./data/Benchmarks/ta060,50,tabu,insert,srz,2,127732,153.008989
./data/Benchmarks/ta060,50,tabu,insert,srz,10,127732,153.009581
./data/Benchmarks/ta060,50,tabu,insert,srz,3,127732,153.009733
./data/Benchmarks/ta060,50,tabu,insert,srz,9,127732,153.014327
./data/Benchmarks/ta060,50,tabu,insert,srz,6,127732,153.016179
./data/Benchmarks/ta060,50,tabu,insert,srz,8,127732,153.017582
./data/Benchmarks/ta081,100,tabu,insert,srz,1,378507,2725.350660
./data/Benchmarks/ta081,100,tabu,insert,srz,7,378507,2725.361601
./data/Benchmarks/ta081,100,tabu,insert,srz,6,378507,2725.367517
./data/Benchmarks/ta081,100,tabu,insert,srz,2,378507,2725.384176
./data/Benchmarks/ta081,100,tabu,insert,srz,3,378507,2725.395053
./data/Benchmarks/ta081,100,tabu,insert,srz,4,378507,2725.395088
./data/Benchmarks/ta081,100,tabu,insert,srz,8,378507,2725.403324
./data/Benchmarks/ta081,100,tabu,insert,srz,5,378507,2725.410236
./data/Benchmarks/ta083,100,tabu,insert,srz,1,380968,2725.237028
./data/Benchmarks/ta083,100,tabu,insert,srz,2,380968,2725.238948
./data/Benchmarks/ta083,100,tabu,insert,srz,4,380968,2725.247175
./data/Benchmarks/ta083,100,tabu,insert,srz,5,380968,2725.257363
./data/Benchmarks/ta083,100,tabu,insert,srz,3,380968,2725.270436
./data/Benchmarks/ta083,100,tabu,insert,srz,6,380968,2725.284558
./data/Benchmarks/ta082,100,tabu,insert,srz,8,383413,2725.332309
./data/Benchmarks/ta082,100,tabu,insert,srz,1,383413,2725.336092
./data/Benchmarks/ta082,100,tabu,insert,srz,2,383413,2725.335384
./data/Benchmarks/ta081,100,tabu,insert,srz,9,378507,2725.353494
./data/Benchmarks/ta082,100,tabu,insert,srz,9,383413,2725.342480
./data/Benchmarks/ta082,100,tabu,insert,srz,10,383413,2725.347123
./data/Benchmarks/ta082,100,tabu,insert,srz,6,383413,2725.360176
./data/Benchmarks/ta082,100,tabu,insert,srz,3,383413,2725.371374
./data/Benchmarks/ta082,100,tabu,insert,srz,5,383413,2725.378875
./data/Benchmarks/ta082,100,tabu,insert,srz,4,383413,2725.393300
./data/Benchmarks/ta081,100,tabu,insert,srz,10,378507,2725.425405
