instance,algo,seed,target,time
TA51,genetic,2,2,2.77927
TA51,genetic,0,2,3.30368
TA51,genetic,3,2,2.91877
TA51,genetic,4,2,3.1159
TA51,genetic,5,2,3.30697
TA51,genetic,11,2,2.65797
TA51,genetic,8,2,3.18836
TA51,genetic,9,2,3.19784
TA51,genetic,10,2,3.00448
TA51,genetic,14,2,2.89237
TA51,genetic,15,2,2.91353
TA51,genetic,16,2,3.06812
TA51,genetic,13,2,3.3087
TA51,genetic,18,2,2.83874
TA51,genetic,17,2,3.10072
TA51,genetic,19,2,3.08565
TA51,genetic,7,2,5.98652
TA51,genetic,20,2,3.02952
TA51,genetic,21,2,2.92784
TA51,genetic,22,2,2.94532
TA51,genetic,24,2,3.04424
TA51,genetic,23,2,3.16586
TA52,genetic,2,2,3.07255
TA52,genetic,1,2,3.33164
TA52,genetic,0,2,3.55704
TA52,genetic,3,2,3.20175
TA52,genetic,4,2,3.23671
TA52,genetic,5,2,2.99696
TA52,genetic,6,2,3.08971
TA52,genetic,7,2,3.58684
TA52,genetic,9,2,2.98743
TA52,genetic,8,2,3.28438
TA52,genetic,12,2,3.11784
TA52,genetic,11,2,3.5188
TA52,genetic,13,2,3.56239
TA52,genetic,15,2,3.07613
TA52,genetic,14,2,3.1611
TA52,genetic,16,2,3.10997
TA52,genetic,17,2,3.31241
TA52,genetic,18,2,3.33725
TA52,genetic,19,2,3.4076
TA52,genetic,20,2,3.37391
TA52,genetic,21,2,3.4799
TA52,genetic,22,2,3.2988
TA52,genetic,23,2,3.35229
TA52,genetic,24,2,3.23206
TA82,genetic,22,2,51.3558
