instance,jobs,pivot,init,seed,pop,mut,tour,completion,time
data/Benchmarks/ta051,50,genetic,srz,1,20,0.2,3,127228,153.057948
data/Benchmarks/ta051,50,genetic,srz,2,20,0.4,3,127159,153.088908
data/Benchmarks/ta051,50,genetic,srz,1,20,0.2,2,127209,153.248871
data/Benchmarks/ta051,50,genetic,srz,3,20,0.2,2,127493,153.259911
data/Benchmarks/ta051,50,genetic,srz,3,20,0.4,5,127088,153.332453
data/Benchmarks/ta051,50,genetic,srz,1,20,0.4,5,127136,153.411761
data/Benchmarks/ta051,50,genetic,srz,2,20,0.2,3,127047,153.481132
data/Benchmarks/ta051,50,genetic,srz,1,20,0.4,2,127250,153.508533
data/Benchmarks/ta051,50,genetic,srz,1,20,0.4,3,127286,153.536956
data/Benchmarks/ta051,50,genetic,srz,3,20,0.4,3,127205,153.631114
data/Benchmarks/ta051,50,genetic,srz,3,20,0.2,5,127142,153.799193
data/Benchmarks/ta051,50,genetic,srz,2,20,0.2,5,126761,153.873096
data/Benchmarks/ta051,50,genetic,srz,3,20,0.2,3,127108,153.968711
data/Benchmarks/ta051,50,genetic,srz,2,20,0.2,2,127438,154.088436
data/Benchmarks/ta051,50,genetic,srz,3,20,0.4,2,127161,154.093887
data/Benchmarks/ta051,50,genetic,srz,2,20,0.4,2,127431,154.238482
data/Benchmarks/ta051,50,genetic,srz,2,20,0.4,5,127080,154.285643
data/Benchmarks/ta051,50,genetic,srz,1,20,0.2,5,126549,154.367412
data/Benchmarks/ta051,50,genetic,srz,3,20,0.05,3,127285,153.042290
data/Benchmarks/ta051,50,genetic,srz,3,20,0.1,3,127158,153.036543
data/Benchmarks/ta051,50,genetic,srz,2,20,0.05,2,127401,153.095359
data/Benchmarks/ta051,50,genetic,srz,1,20,0.05,5,126777,153.081045
data/Benchmarks/ta051,50,genetic,srz,2,20,0.1,2,127008,153.192182
data/Benchmarks/ta051,50,genetic,srz,2,20,0.1,3,127256,153.305508
data/Benchmarks/ta051,50,genetic,srz,2,20,0.05,3,127007,153.330713
data/Benchmarks/ta051,50,genetic,srz,3,20,0.05,2,127274,153.378782
data/Benchmarks/ta051,50,genetic,srz,2,20,0.05,5,126866,153.397823
data/Benchmarks/ta051,50,genetic,srz,1,20,0.1,2,127498,153.414210
data/Benchmarks/ta051,50,genetic,srz,1,20,0.1,3,127015,153.395821
data/Benchmarks/ta051,50,genetic,srz,2,20,0.1,5,127008,153.397974
data/Benchmarks/ta051,50,genetic,srz,3,20,0.05,5,126728,153.459769
data/Benchmarks/ta051,50,genetic,srz,1,20,0.05,3,127142,153.555255
data/Benchmarks/ta051,50,genetic,srz,1,20,0.05,2,127374,153.667293
data/Benchmarks/ta051,50,genetic,srz,1,20,0.1,5,127169,153.634594
data/Benchmarks/ta051,50,genetic,srz,3,20,0.1,5,127079,153.696945
data/Benchmarks/ta051,50,genetic,srz,3,20,0.1,2,127262,153.815545
data/Benchmarks/ta051,50,genetic,srz,2,20,0.2,2,127204,153.018073
data/Benchmarks/ta051,50,genetic,srz,3,20,0.4,2,127405,153.019567
data/Benchmarks/ta051,50,genetic,srz,1,20,0.4,5,127309,153.070767
